[ 2026-01-03 21:08:41,005 ] 16 root - INFO - Initiate the data ingestion
[ 2026-01-03 21:08:43,046 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-01-03 21:08:43,047 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-03 21:08:43,047 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-03 21:08:43,071 ] 83 root - INFO - Exported train and test file path.
[ 2026-01-03 21:08:43,071 ] 18 root - INFO - Data Initiation Completed
[ 2026-01-03 21:08:43,074 ] 22 root - INFO - Initiate the Data Validation
[ 2026-01-03 21:08:43,118 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 21:08:43,118 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 21:08:43,118 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 21:08:43,118 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 21:08:43,186 ] 24 root - INFO - Data Validation Completed.
[ 2026-01-03 21:08:43,186 ] 26 root - INFO - Initiate Data Transformation
[ 2026-01-03 21:08:43,187 ] 57 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-03 21:08:43,187 ] 59 root - INFO - Starting data transformation
[ 2026-01-03 21:08:43,200 ] 43 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-03 21:08:43,200 ] 48 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-03 21:08:43,209 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 21:08:43,212 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 21:08:43,212 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 21:08:43,214 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 21:08:43,215 ] 31 root - INFO - Data Transformation completed.
